Code;HMI Message;Cause;Action;Platforms
89;Invalid system configuration;Incorrect configuration of the circuit boards after replacing a circuit board.;Redo the configuration of the circuit boards in Autocheck.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
90;No power in charging station;The power supply unit is incorrect or damaged.;Examine the power supply unit. Replace if necessary. ;P0.05, P0.05GA, P0.05H, P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
90;No power in charging station;Power failure.;Find and correct the cause of the power failure. ;P0.05, P0.05GA, P0.05H, P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
90;No power in charging station;The product cannot charge because there is no contact between the contact plates and the charging plates.;Make sure that the charging plates and the contact plates are in contact. Clean the contact plates and charging plates.;P0.05, P0.05GA, P0.05H, P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
91;Switch cord problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P25
91;Switch cord problem;The switch cord is damaged.;Examine the application board, the switch cord and the cabling.  Replace the switch cord in the link arm or the application circuit board if necessary.;P25
92;Map problem;There is no defined work area.;Make a work area in the app.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
136;Work area tampered;Temporary electronic or firmware problem;Restart the product. If the problem stays, speak to your service center.;P14, P17, P21, P21NA, P22, P25, P2Z, P3
92;Map problem;The map object file is incorrect.;Do a check of the map in the app. Adjust the map and save it. If the problem stays, delete the map and make a new installation.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
93;Searching for satellites ;Weak satellite signal to the reference station.;The satellite signal is temporary weak. The product will start to operate again when the satellite signals are good. If the problem remains, examine the installation.;P17, P21, P21NA, P22, P25, P2Z, P3
93;Searching for satellites ;Weak satellite signal to the product.;The satellite signal is temporary weak. The product will start to operate again when the satellite signal are good. If the problem remains, the area includes parts where the satellite signal is weak. Examine if the product has satellite signal in all parts of the work area. Examine if the sky is obscured. If possible, remove obstructing objects. Otherwise, redo the installation and exclude these parts.;P17, P21, P21NA, P22, P25, P2Z, P3
111;No accurate position from satellites;Weak satellite signal to the reference station.;Examine the installation of the reference station.;P17, P21, P21NA, P2Z, P3
111;No accurate position from satellites;Weak satellite signal to the product.;The area includes parts where the satellite signal is weak. Examine if the product has satellite signal in all parts of the work area. Examine if the sky is obscured. If possible, remove obstructing objects. Otherwise, redo the installation and exclude these parts.;P14, P17, P21, P21NA, P2Z, P3
94;Reference station communication problem;The product is not paired with the reference station.;Redo the pairing with the reference station.;P17, P21, P21NA, P22, P25, P2Z, P3
94;Reference station communication problem;The reference station is not installed correctly.;Examine the installation of the reference station.;P17, P21, P21NA, P22, P25, P2Z, P3
94;Reference station communication problem;The reference station radio signal does not cover the complete area.;Test if the product has radio signal from the reference station in the complete area. If not, redo the installation of the reference station or the installation of the map.;P17, P21, P21NA, P22, P25, P2Z, P3
94;Reference station communication problem;Power failure.;Find and correct the cause of the power failure.;P17, P21, P21NA, P22, P25, P2Z, P3
94;Reference station communication problem;There is an error in the reference station and the LED status indicator is flashing red.;Disconnect the power to the reference station and connect it again to restart the reference station. If the problem stays, speak to your authorized service center.;P17, P21, P21NA, P22, P25, P2Z, P3
94;Reference station communication problem;The RTK module in the reference station is damaged.;Examine the RTK module in the reference station and replace if necessary. ;P17, P21, P21NA, P22, P25, P2Z, P3
17;Charging station blocked;The product cannot go into the charging station because it is blocked or the baseplate of the charging station is tilted or bent.;Examine why the product cannot go into the charging station. Remove any objects and make sure that the baseplate of the charging station is level. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
16;Stuck in charging station;The product cannot leave the charging station because it is blocked or it slips on the baseplate of the charging station.;Examine why the product cannot leave the charging station. Remove any objects and clean the baseplate of the charging station. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
15;Lifted;The lift sensor has been enabled because the product has been lifted.;Make sure that the product body can move freely around its chassis. Remove or create an island around objects that can cause the body to be lifted. If the problem stays speak to your authorized service center.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C
15;Lifted;The front sensor circuit board is damaged or not installed correctly.;Examine the front sensor circuit board and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P0.05, P0.05H, P1, P10, P12
15;Lifted;The front sensor circuit board or the rear sensor module is damaged or not installed correctly.;Examine the front sensor circuit board, the rear sensor module and their cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P0.1, P0.2, P0.3
15;Lifted;The lift sensor circuit board is damaged or not installed correctly.;Examine the lift sensor circuit board and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P15, P2, P2C, P2Z
15;Lifted;The front lift sensor circuit board is damaged or not installed correctly.;Examine the front lift sensor circuit board and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P16
15;Lifted;The magnetic 3D circuit boards for the lift sensors are damaged or not installed correctly.;Examine the magnetic 3D circuit boards for the lift sensors and their cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction.  Replace if necessary.;P25
25;Cutting system blocked;The cutting system is blocked by grass or other objects.;Examine the cutting system and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
25;Cutting system blocked;The cutting system or its cabling is damaged or not installed correctly.;Examine the cutting system and its cabling. Replace if necessary.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P2, P21, P21NA, P25, P2C, P2Z
25;Cutting system blocked;The main circuit board or its cabling is damaged or not installed correctly. ;Examine the main circuit board and its cabling. Replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
25;Cutting system blocked;The motor control circuit board or its cabling is damaged or not installed correctly.;Examine the motor control circuit board and its cabling. Replace if necessary.;P14, P16, P17, P21, P21NA, P2Z
25;Cutting system blocked;The front motor control circuit board or its cabling is damaged or not installed correctly.;Examine the front motor control circuit board and its cabling. Replace if necessary.;P25
26;Invalid sub-device combination;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
26;Invalid sub-device combination;Unknown combination of firmware versions. ;Update the firmware to the latest version. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
26;Invalid sub-device combination;Incorrect combination of circuit boards in the product. ;Replace the circuit boards to a correct combination. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
27;Settings restored;Confirmation that a Reset all user settings has been carried out.;This is normal. No action required.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P16, P2, P2C
27;Settings restored;When restoring user settings, after e.g circuit board replacement, the user settings failed to save and the product has been reset to factory settings.;If the fault occurs repeatedly, program the product with the most recent main program. It the problem stays, replace the main circuit board. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
27;Settings restored;When restoring user settings, after e.g circuit board replacement, the user settings failed to save and the product has been reset to factory settings.;If the fault occurs repeatedly, program the product with the most recent main program. It the problem stays, replace the application circuit board. ;P16
28;Electronic problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
28;Electronic problem;To reset the settings has failed because of memory data error. ;Update the firmware to the latest version.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
28;Electronic problem;To reset the settings has failed because of memory data error.;Examine the main circuit board and replace if necessary.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
29;Slope too steep;The product stopped because the slope is too steep.;Change the installation exclude this steep part of the work area.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
29;Slope too steep;The tilt sensor is not calibrated so it indicates too steep slope incorrectly.;Put the product on level ground and calibrate the tilt sensor.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
28;Electronic problem;To reset the settings has failed because of memory data error.;Examine the application circuit board and replace if necessary.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
81;Safety function faulty;The status LED on the keypad is damaged. ;Examine the keypad, the main circuit board and their cabling. Replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P12, P22
81;Safety function faulty;The status LED on the keypad is damaged.;Examine the keypad, the application circuit board and their cabling. Replace if necessary.;P14, P16
81;Safety function faulty;The LED status indicator on the product  is damaged.;Examine the application circuit board and its cabling. Replace if necessary.;P25
13;No drive;The product slips because of wet grass.;Wait until the lawn is dry before you start the product again.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
13;No drive;The product slips because the slope is too steep.;Redo the installation and exclude the steep part from the work area. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
13;No drive;The product slips because the slope is too steep when it follows the guide wire. ;Examine that the guide wire is installed diagonally in the slope according to the instructions. ;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
13;No drive;The product slips because there is an obstacle. ;Remove the obstacle.;P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
78;Slipped;The product slips because of wet grass.;Wait until the lawn is dry before you start the product again.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
78;Slipped;The product slips because the slope is too steep.;Redo the installation and exclude the steep part from the work area.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
78;Slipped;The product slips because the slope is too steep when it follows the guide wire.;Examine that the guide wire is installed diagonally in the slope according to the instructions.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
78;Slipped;The product slips because there is an obstacle.;Remove the obstacle.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
105;Lift sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P14, P17, P21, P22, P25, P2Z, P3
105;Lift sensor problem;One or several lift sensors are damaged or not installed correctly.  ;Examine the lift sensors and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P17, P21, P2Z, P3
